Index,Name3,Team,Salary
112,Doug McDermott,Indiana Pacers,13750000
64,Draymond Green,Golden State Warriors,22321429
335,Drew Eubanks,Phoenix Suns,2346614
426,Dru Smith,Miami Heat,1801769
87,Duncan Robinson,Miami Heat,18154000
402,Duop Reath,Portland Trail Blazers,1951220
263,Dwight Powell,Dallas Mavericks,4000000
219,Dyson Daniels,New Orleans Pelicans,5784120
427,E.J. Liddell,New Orleans Pelicans,1801769
287,Eric Gordon,Phoenix Suns,3196448
455,Eugene Omoruyi,Washington Wizards,900000
79,Evan Fournier,Detroit Pistons,18857143
172,Evan Mobley,Cleveland Cavaliers,8882760
442,Filip Petrusev,Sacramento Kings,1119563
361,Frank Ntilikina,Charlotte Hornets,2019706
226,Franz Wagner,Orlando Magic,5508720
14,Fred VanVleet,Houston Rockets,40806300
228,Furkan Korkmaz,Philadelphia 76ers,5370370
148,Gabe Vincent,Los Angeles Lakers,10500000
227,Garrett Temple,Toronto Raptors,5401000
396,Garrison Mathews,Atlanta Hawks,2000000
114,Gary Harris,Orlando Magic,13000000
175,Gary Payton II,Golden State Warriors,8715000
83,Gary Trent Jr.,Toronto Raptors,18560000
174,Georges Niang,Cleveland Cavaliers,8800000
401,GG Jackson II,Memphis Grizzlies,1991428
7,Giannis Antetokounmpo,Milwaukee Bucks,45640084
354,Goga Bitadze,Orlando Magic,2062585
42,Gordon Hayward,Oklahoma City Thunder,31500000
248,Gradey Dick,Toronto Raptors,4536720
122,Grant Williams,Charlotte Hornets,12325581
170,Grayson Allen,Phoenix Suns,8925000
453,Gui Santos,Golden State Warriors,1029483
96,Harrison Barnes,Sacramento Kings,17000000
413,Haywood Highsmith,Miami Heat,1902137
129,Herbert Jones,New Orleans Pelicans,12015150
449,Hunter Tyson,Denver Nuggets,1119563
256,Immanuel Quickley,Toronto Raptors,4171548
171,Isaac Okoro,Cleveland Cavaliers,8920795
167,Isaiah Hartenstein,New York Knicks,9245121
308,Isaiah Jackson,Indiana Pacers,2696280
399,Isaiah Joe,Oklahoma City Thunder,1997238
417,Isaiah Livers,Detroit Pistons,1836096
353,Isaiah Roby,Ulm Ulm,2066585
232,Isaiah Stewart,Detroit Pistons,5266713
416,Isaiah Todd,Memphis Grizzlies,1836096
362,Ish Smith,Charlotte Hornets,2019706
143,Ivica Zubac,LA Clippers,10933333
29,Ja Morant,Memphis Grizzlies,34005250
166,Jabari Smith Jr.,Houston Rockets,9326520
433,Jabari Walker,Portland Trail Blazers,1719864
423,Jack White,Memphis Grizzlies,1801769
437,Jaden Hardy,Dallas Mavericks,1719864
189,Jaden Ivey,Detroit Pistons,7641480
266,Jaden McDaniels,Minnesota Timberwolves,3901399
343,Jaden Springer,Boston Celtics,2226240
360,Jae Crowder,Milwaukee Bucks,2019760
204,Jae'Sean Tate,Houston Rockets,6500000
