player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Steven Adams,adamsst01,2020,2453,1173,.9750511102431564,.7881772786794472,1.763228388922604,1.447541601102528,1.084741968775201,2.532283569877729,1.122839645740431,.9016315739804731,2.024471219720904,2.838114948748665,2.838114948748665,0,.4122845831178713,1.189610227340376,1.601894810458247,-.6869878072515673
Bam Adebayo,adebaba01,2020,3393,1659,-1.047538381010581,1.928981910237149,.8814435292265681,3.512298212153055,1.980136142405875,5.492434354558929,-.1961366145698437,2.026433751764505,1.830297137194661,3.843648630408206,3.843648630408206,0,-.2791176221855716,1.20105788264613,.9219402604605582,-.8742268476811426
LaMarcus Aldridge,aldrila01,2020,3036,1453,-.4360997763813253,.6651777700103715,.2290779936290462,-2.476635097162464,-2.586716513482083,-5.063351610644547,-.9265655877879848,.0629110966803362,-.8636544911076486,1.382744247369474,1.382744247369474,0,-1.033638593164962,.4726307045660942,-.5610078885988676,-1.141442289759447
Nickeil Alexander-Walker,alexani01,2020,1081,494,-2.787104229271796,-1.407740900991311,-4.194845130263106,1.290801050270205,-3.186932685999189,-1.896131635728984,-2.113041141876996,-1.826034963714428,-3.939076105591424,-.3011095302266032,-.3011095302266032,0,-.3260185640019903,-2.046599293544044,-2.372617857546034,.4821990535458578
Grayson Allen,allengr01,2020,1100,498,-.0835439888954702,-1.424021020995317,-1.507565009890788,-1.361647195070687,-2.562557476052205,-3.924204671122891,-.3439672224152756,-1.718344700745166,-2.062311923160442,.1755429196159815,.1755429196159815,0,-.3749855917564279,-2.650657407847595,-3.025642999604023,.476198278337905
Jarrett Allen,allenja01,2020,2781,1309,-1.116875334323316,3.31272342874809,2.195848094424774,4.180682916289348,-1.202160140746859,2.978522775542489,-.0632607004680912,2.565719840196598,2.502459139728507,3.481315261654052,3.481315261654052,0,-.6062206550417616,2.29556687033891,1.689346215297148,-.7722891596392775
Kadeem Allen,allenka01,2020,252,117,.8576747809071225,5.893851575399291,6.751526356306415,2.935639363724868,-5.688375522233367,-2.7527361585085,1.444032735096741,3.908337438902656,5.352370173999396,.4780135939916751,.4780135939916751,0,2.187219030566765,2.282308729596705,4.46952776016347,-1.190846410427523
Al-Farouq Aminu,aminual01,2020,793,380,-4.353117141043534,2.362943064324573,-1.990174076718962,-8.798936984509291,4.067166170832619,-4.731770813676672,-5.5235136012077,2.828599931881286,-2.694913669326413,.0106396431721715,.0106396431721715,0,-5.379371091990058,2.641594717036782,-2.737776374953276,-.3847989654881561
Justin Anderson,anderju01,2020,38,17,-8.009056409045831,6.465409163493263,-1.543647245552568,-18.43548669018909,11.75591875671626,-6.679567933472827,-10.66788600655712,7.950164248203803,-2.717721758353312,.0002784165061852,.0002784165061852,0,-10.0750566885161,3.00433568536399,-7.070721003152112,-.563339899500529
Kyle Anderson,anderky01,2020,1632,742,-1.026588079829561,1.427878915241679,.4012908354121183,-4.459844065431644,2.657822620701286,-1.802021444730358,-1.788784568453617,1.801569319585814,.012784751132197,1.047001120895245,1.047001120895245,0,-2.011161746661678,.7032995759439722,-1.307862170717706,.1071350859543825
Ryan Anderson,anderry01,2020,33,14,-11.36140456526596,-2.360837332011417,-13.72224189727737,7.439891565411205,7.294234668809677,14.73412623422088,-8.098373925103157,-.4106064503709951,-8.508980375474152,-.0426231264587971,-.0426231264587971,0,-6.396783763861387,-1.973839282096599,-8.370623045957986,3.690866289856384
Giannis Antetokounmpo,antetgi01,2020,3091,1381,6.388283941076053,2.569232888309251,8.957516829385302,.5668167480875863,4.72010398165571,5.286920729743295,5.420288282515322,3.0955985565549,8.515886839070221,8.106010226264056,8.106010226264056,0,5.217060615051464,2.469117570668971,7.686178185720435,2.162503946597869
Kostas Antetokounmpo,antetko01,2020,12,5,-.7915364789128384,-19.94774551666972,-20.73928199558256,9.083466427190022,-19.72485425677093,-10.64138782958091,1.20550441063863,-21.27234141808529,-20.06683700744667,-.0435992498653705,-.0435992498653705,0,-1.457960878348318,-14.97289659672698,-16.4308574750753,-1.330511224894245
Thanasis Antetokounmpo,antetth01,2020,140,61,.4114474307238192,-.6759500203197213,-.2645025895959021,-.8577786574955053,-1.152028393597267,-2.009807051092773,.0495872090064725,-.9530955085432209,-.9035082995367485,.058116934502329,.058116934502329,0,-.505937377752693,-1.04098640539544,-1.546923783148133,1.154259679909789
Carmelo Anthony,anthoca01,2020,2302,1105,-2.054375621173317,-2.998441410443755,-5.052817031617072,1.726235183171286,-3.408668719406991,-1.682433536235705,-1.430217799456375,-3.233316213492289,-4.663534012948663,-1.067170536638874,-1.067170536638874,0,-.6913058627807785,-2.67528598607771,-3.366591848858489,-1.099530988380169
OG Anunoby,anunoog01,2020,2996,1421,-2.039031808034384,1.82193067677137,-.2171011312630149,2.147664532240893,-1.553459835109448,.5942046971314461,-1.308346357459193,1.174384993306157,-.1339613641530355,1.893296368360897,1.893296368360897,0,-1.413445079533706,1.360787085771032,-.0526579937626741,-.1784314529014944
Ryan Arcidiacono,arcidry01,2020,1507,703,-.4961370550170356,1.497693696152138,1.001556641135102,-2.719600747103302,2.795579013229684,.0759782661263819,-.9437438738768044,1.852872993081445,.9091291192046406,1.312146119363039,1.312146119363039,0,-1.798117134665697,1.102047320884654,-.696069813781043,-.0214525781814825
