School Campus,Intervention Type,Incident Location,Greater Than 21,Scanning Type,Scanning Incident,School Related,School Hours,Enforcment By,Restraints,Force,Type Of Force,Top Charge,SummonsCharge,Classification
Abraham Lincoln HS(BS),Arrested,On-Site,NO,Non-Scanning,N,Y,Y,PATROL,Metal,N,None,SEX MISCONDUCT,,M
Abraham Lincoln HS(BS),Child in Crisis,On-Site,NO,Full-Time,N,Y,Y,SSA,Metal,Y,Physical Force,,,
Abraham Lincoln HS(BS),Mitigated,On-Site,NO,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
Academy for Environmental Leadership(BN),Juvenile Report,On-Site,NO,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
Academy for Environmental Leadership(BN),Mitigated,On-Site,NO,Full-Time,Y,Y,Y,DOE,No Restraints,N,None,,,
Academy for Health Careers(BN),Juvenile Report,On-Site,NO,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
Academy for Health Careers(BN),Mitigated,On-Site,NO,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Academy for Health Careers(BN),Mitigated,On-Site,NO,Full-Time,N,Y,Y,DOE,No Restraints,N,None,,,
Academy for Integrated Learning (BN),Arrested,On-Site,NO,Non-Scanning,N,Y,Y,SSA,Metal,N,None,USE DRUG PARA,,M
Academy for Language & Technology(XW),Child in Crisis,On-Site,NO,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
Academy for Language & Technology(XW),Child in Crisis,On-Site,NO,Non-Scanning,N,Y,Y,SSA,Velcro,N,None,,,
Academy for Language & Technology(XW),Juvenile Report,Off-Site,NO,Non-Scanning,N,Y,Y,PATROL,No Restraints,N,None,,,V
Academy for Personal Leadership & Excellence(XW),Mitigated,On-Site,NO,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Child in Crisis,On-Site,NO,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Child in Crisis,On-Site,NO,Full-Time,N,Y,Y,N/A,No Restraints,N,None,,,
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Child in Crisis,On-Site,NO,Full-Time,N,Y,Y,PATROL,Metal,N,None,,,
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Juvenile Report,On-Site,NO,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Juvenile Report,On-Site,NO,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Juvenile Report,On-Site,NO,Full-Time,N,Y,Y,SSA,Metal,N,None,,,V
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Juvenile Report,On-Site,NO,Full-Time,N,Y,Y,SSA,Metal,N,None,,,V
ACADEMY FOR SCHOLARSHIP & ENTREPRENEURSHIP(XE),Juvenile Report,On-Site,NO,Full-Time,Y,Y,Y,SSA,No Restraints,N,None,,,V
Academy for Young Writers(BN),Mitigated,On-Site,NO,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
ACADEMY OF AMERICAN STUDIES(QN),Child in Crisis,On-Site,NO,Non-Scanning,N,Y,Y,N/A,No Restraints,N,None,,,
Academy of Innovative Learning(SI),Mitigated,On-Site,NO,Non-Scanning,N,Y,Y,DOE,No Restraints,N,None,,,
Academy of Innovative Technology(BN),Arrested,On-Site,NO,Full-Time,N,Y,Y,SSA,Metal,N,None,ASSAULT,,F
Academy of Innovative Technology(BN),Arrested,On-Site,NO,Full-Time,N,Y,Y,SSA,No Restraints,N,None,CPCS,,M
