EnrStatus,Department,Year,YOG,Grade,CrsNo,Description,SecNo,T1AttTrmGr,T1Grd,T2AttTrmGr,T2Grd,T3AttTrmGr,T3Grd,T4AttTrmGr,T4Grd,Exam,FG,Credit,Credit.1,PotentialCredit,Term,TeacherNum
Active,MAT,2022,2025,9,5011,Math 1 H,13,,,,,,B+,,C,,B,5,12,,FY,3
Active,MAT,2022,2025,9,5012,Math 1 Accelerated/Honors,13,,B-,,B+,,,,,,,5,,,FY,3
W07,MAT,2020,2023,9,5161,Math 1 ACP,4,,A-,,A,,P,,,,A,5,12,,FY,37
W07,MAT,2021,2023,10,5121,Math 2 ACP Acc,1,,A,,A,,B,,B,,B,5,12,,FY,12
W07,MAT,2022,2023,11,5031,Math 3 (Pre-Calculus) H,2,,B,,B-,,B-,,C+,,B-,5,12,,FY,48
W07,MAT,2023,2023,12,5081,AP Calculus 4 AB,4,Y,B-,Y,C-,Y,D-,Y,C,,C-,12,12,,FY,19
W07,MAT,2020,2023,9,5401,ELL Math CP,1,,,,,,NG,,,,N,5,0,1.25,FY,23
W07,MAT,2021,2023,10,5401,ELL Math CP,1,,P,,B,,B,,A,,B,5,12,,FY,61
W07,,2009,2012,9,5111,Mathematics 1 Acc,,,,,,,,,,,B,5,5,,,1
W07,,2010,2012,10,5121,Mathematics 2 Acc,,,B+,,A-,,B,,B,B,B,5,5,,,1
W07,,2011,2012,11,5131,Mathematics 3 Acc,,,B+,,C+,,B-,,C-,B,B-,5,5,,,1
W07,,2012,2012,12,5141,Intro to Calculus ACP Acc,,,A,,A,,A,,A,,A,5,5,,,1
W07,,2015,2016,11,5181,Math 3 ACP,,,C+,,C,,D+,,C-,F,C-,5,5,,,1
W07,,2016,2016,12,5191,Pre-Calculus ACP,4,,F,,ND+,,C-,,F,,D-,5,5,,FY,9
W07,,2008,2012,9,5411,Math 1  II,,,,,,,,,,,B+,5,5,,,1
W07,,2010,2013,9,5411,Math 1  II,,,A-,,A,,A,,A,A,A,5,5,,,1
W07,,2012,2013,11,5171,Math 2 ACP,,,C+,,B,,C+,,B,A-,B,5,5,,,1
W07,,2013,2013,12,5181,Math 3 ACP,,,B-,,B,,B+,,B,C-,B,5,5,,,1
W07,,2014,2017,9,5161,Math 1 ACP,,,A-,,A,,A,,B+,C,A-,5,5,,,1
W07,,2015,2017,10,5171,Math 2 ACP,,,B+,,B,,A-,,A,A-,A-,5,5,,,1
W07,,2016,2017,11,5181,Math 3 ACP,3,,B+,,B+,,A,,A-,B,A-,5,5,,FY,1
W07,,2017,2017,12,5191,Pre-Calculus ACP,3,,A,,A,,A-,,A,,A,5,5,,FY,37
Active,MAT,2023,2025,11,5181,Math 3 ACP,1,,M,N,F,N,I,N,I,I,I,12,0,0,FY,4
W07,,2016,2019,9,5111,Math 1 ACP Acc,4,,C+,,B-,,A-,,B+,B-,B,5,5,,FY,48
W07,,2017,2019,10,5121,Math 2 ACP Acc,3,,B-,,B,,A,,B,B+,B,5,5,,FY,32
W07,MAT,2018,2019,11,5131,Math 3 ACP Acc,2,,B+,,B,,B-,,C,C+,B-,5,5,,FY,47
W07,MAT,2019,2019,12,5141,Intro to Calculus ACP Acc,3,,B+,,B+,,B,,C,,B,5,5,,FY,7
W07,,2012,2016,9,5111,Math 1 ACP Acc,,,B,,B,,B,,B,B-,B,5,5,,,1
W07,,2013,2016,10,5121,Math 2 ACP Acc,,,B+,,A-,,A,,B,B,B+,5,5,,,1
W07,,2014,2016,11,5131,Math 3 ACP Acc,,,B-,,C+,,C+,,C+,C-,B,5,5,,,1
W07,,2015,2016,12,5141,Intro to Calculus ACP Acc,,,C,,C,,C,,D+,F,C,5,5,,,1
W01,,2017,2020,9,5161,Math 1 ACP,3,,P,,B,,C+,,B-,C-,B-,5,5,,FY,1
W01,MAT,2018,2020,10,5171,Math 2 ACP,1,,D-,,,,,,,,P,5,1.25,1.25,FY,31
Active,MAT,2022,2025,9,5011,Math 1 H,3,,,,,,A,,A,,A,5,12,,FY,53
Active,MAT,2022,2025,9,5012,Math 1 Accelerated/Honors,3,,A,,A,,,,,,,5,,,FY,53
Active,MAT,2023,2025,10,5021,Math 2 H,3,Y,A,Y,A,Y,A,Y,A,A,A,12,12,,FY,7
W07,,2016,2019,9,5111,Math 1 ACP Acc,7,,C-,,B-,,B,,C+,D+,C+,5,5,,FY,48
W07,,2017,2019,10,5171,Math 2 ACP,1,,P,,A,,A,,A-,A,A,5,5,,FY,31
W07,MAT,2018,2019,11,5181,Math 3 ACP,1,,A,,B+,4,A-,0,B+,,A-,5,5,,FY,12
W07,MAT,2019,2019,12,5191,Pre-Calculus ACP,2,,A,,A,,A,,B+,,A-,5,5,,FY,14
W07,,2014,2017,9,5111,Math 1 ACP Acc,,,C+,,C-,,D-,,B,D-,C-,5,5,,,1
W07,,2015,2017,10,5121,Math 2 ACP Acc,,,A-,,A-,,B-,,B,C+,B,5,5,,,1
W07,,2016,2017,11,5131,Math 3 ACP Acc,2,,C+,,B-,,C-,,D,F,C-,5,5,,FY,47
W07,,2017,2017,12,5141,Intro to Calculus ACP Acc,1,,B-,,C+,,B,,B,,B-,5,5,,FY,27
W07,,2012,2013,11,5431,Math 3  CP,,,B-,,N,,A,,B+,B,B+,5,5,,,1
W07,MAT,2019,2022,9,5011,Math 1 H,4,,A-,,B,,B-,,B,C,B,5,5,,FY,3
W07,MAT,2020,2022,10,5021,Math 2 H,1,,A,,B,,P,,,,A-,5,5,,FY,17
W07,MAT,2021,2022,11,5031,Math 3 (Pre-Calculus) H,2,,A,,A,,A,,A,,A,5,5,,FY,10
W07,MAT,2022,2022,12,5041,AP Calculus 4 BC,1,,A,,B,,C,,A,,A,5,5,,FY,5
