,Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
439,195301250MNL,BOS,game,,Gene Conley,conlege01,,1.0,1.0,1.0,,,,0.0,0.0,,,,,,,,,2.0,2.0,,
440,195301250MNL,BOS,game,,Bob Donham,donhabo01,,0.0,2.0,0.0,,,,0.0,3.0,0.0,,,,,,,,2.0,0.0,,
441,195301250MNL,MNL,game,,George Mikan,mikange01,,13.0,23.0,0.565,,,,4.0,9.0,0.444,,,,,,,,5.0,30.0,,
442,195301250MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,8.0,23.0,0.348,,,,3.0,3.0,1.0,,,,,,,,4.0,19.0,,
443,195301250MNL,MNL,game,,Jim Pollard,pollaji01,,5.0,11.0,0.455,,,,4.0,6.0,0.667,,,,,,,,5.0,14.0,,
444,195301250MNL,MNL,game,,Bob Harrison,harribo02,,6.0,10.0,0.6,,,,1.0,2.0,0.5,,,,,,,,5.0,13.0,,
445,195301250MNL,MNL,game,,Slater Martin,martisl01,,0.0,6.0,0.0,,,,4.0,6.0,0.667,,,,,,,,2.0,4.0,,
446,195301250MNL,MNL,game,,Whitey Skoog,skoogwh01,,1.0,3.0,0.333,,,,1.0,1.0,1.0,,,,,,,,2.0,3.0,,
447,195301250MNL,MNL,game,,Jim Holstein,holstji01,,1.0,2.0,0.5,,,,0.0,0.0,,,,,,,,,3.0,2.0,,
448,195301250MNL,MNL,game,,Pep Saul,saulpe01,,0.0,5.0,0.0,,,,2.0,2.0,1.0,,,,,,,,5.0,2.0,,
449,195301250MNL,MNL,game,,Lew Hitch,hitchle01,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,1.0,0.0,,
450,195303060BOS,MNL,game,,Vern Mikkelsen,mikkeve01,,9.0,18.0,0.5,,,,3.0,4.0,0.75,,,,,,,,3.0,21.0,,
451,195303060BOS,MNL,game,,George Mikan,mikange01,,7.0,13.0,0.538,,,,5.0,8.0,0.625,,,,,,,,2.0,19.0,,
452,195303060BOS,MNL,game,,Jim Pollard,pollaji01,,7.0,19.0,0.368,,,,5.0,5.0,1.0,,,,,,,,4.0,19.0,,
453,195303060BOS,MNL,game,,Slater Martin,martisl01,,3.0,8.0,0.375,,,,2.0,2.0,1.0,,,,,,,,2.0,8.0,,
454,195303060BOS,MNL,game,,Bob Harrison,harribo02,,3.0,8.0,0.375,,,,1.0,1.0,1.0,,,,,,,,5.0,7.0,,
455,195303060BOS,MNL,game,,Pep Saul,saulpe01,,2.0,5.0,0.4,,,,1.0,2.0,0.5,,,,,,,,3.0,5.0,,
456,195303060BOS,MNL,game,,Lew Hitch,hitchle01,,1.0,5.0,0.2,,,,1.0,2.0,0.5,,,,,,,,2.0,3.0,,
457,195303060BOS,MNL,game,,Whitey Skoog,skoogwh01,,1.0,1.0,1.0,,,,0.0,0.0,,,,,,,,,0.0,2.0,,
458,195303060BOS,MNL,game,,Jim Holstein,holstji01,,0.0,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,2.0,1.0,,
459,195303060BOS,BOS,game,,Ed Macauley,macaued01,41:00,18.0,29.0,0.621,,,,10.0,17.0,0.588,,,,,,,,3.0,46.0,,
460,195303060BOS,BOS,game,,Bob Donham,donhabo01,,5.0,7.0,0.714,,,,6.0,7.0,0.857,,,,,,,,3.0,16.0,,
461,195303060BOS,BOS,game,,Bob Brannum,brannbo01,,7.0,13.0,0.538,,,,1.0,1.0,1.0,,,,,,,,5.0,15.0,,
462,195303060BOS,BOS,game,,Bob Cousy,cousybo01,,4.0,15.0,0.267,,,,2.0,4.0,0.5,,,,14.0,,,,0.0,10.0,,
463,195303060BOS,BOS,game,,Bob Harris,harribo01,,4.0,7.0,0.571,,,,0.0,0.0,,,,,,,,,1.0,8.0,,
464,195303060BOS,BOS,game,,Bill Sharman,sharmbi01,,1.0,10.0,0.1,,,,1.0,2.0,0.5,,,,,,,,1.0,3.0,,
465,195303060BOS,BOS,game,,Mo Mahoney,mahonmo01,,1.0,1.0,1.0,,,,0.0,1.0,0.0,,,,,,,,1.0,2.0,,
466,195303060BOS,BOS,game,,Chuck Cooper,coopech01,,0.0,4.0,0.0,,,,0.0,0.0,,,,,,,,,5.0,0.0,,
467,195303060BOS,BOS,game,,John Mahnken,mahnkjo01,,0.0,6.0,0.0,,,,0.0,0.0,,,,,,,,,1.0,0.0,,
