,Game Reference,Team,Period,Starter,Player Name,Player Reference,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,Reason
537,195401100MNL,MNL,game,,Jim Holstein,holstji01,,4.0,7.0,0.571,,,,6.0,8.0,0.75,,,,,,,,5.0,14.0,,
538,195401100MNL,MNL,game,,Slater Martin,martisl01,,5.0,10.0,0.5,,,,3.0,7.0,0.429,,,,,,,,3.0,13.0,,
539,195401100MNL,MNL,game,,Pep Saul,saulpe01,,4.0,7.0,0.571,,,,5.0,6.0,0.833,,,,,,,,2.0,13.0,,
540,195401100MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,3.0,9.0,0.333,,,,2.0,2.0,1.0,,,,,,,,2.0,8.0,,
541,195401100MNL,MNL,game,,Dick Schnittker,schnidi01,,3.0,5.0,0.6,,,,0.0,0.0,,,,,,,,,2.0,6.0,,
542,195401100MNL,MNL,game,,Bob Harrison,harribo02,,2.0,4.0,0.5,,,,1.0,2.0,0.5,,,,,,,,3.0,5.0,,
543,195401100MNL,MNL,game,,Whitey Skoog,skoogwh01,,2.0,3.0,0.667,,,,1.0,1.0,1.0,,,,,,,,2.0,5.0,,
544,195401100MNL,MNL,game,,Clyde Lovellette,lovelcl01,,1.0,3.0,0.333,,,,1.0,2.0,0.5,,,,,,,,4.0,3.0,,
545,195401130BOS,MNL,game,,Jim Pollard,pollaji01,39:00,3.0,8.0,0.375,,,,6.0,6.0,1.0,,,,5.0,,,,5.0,12.0,,
546,195401130BOS,MNL,game,,Slater Martin,martisl01,36:00,4.0,9.0,0.444,,,,1.0,3.0,0.333,,,,6.0,,,,5.0,9.0,,
547,195401130BOS,MNL,game,,George Mikan,mikange01,34:00,7.0,16.0,0.438,,,,7.0,9.0,0.778,,,,2.0,,,,5.0,21.0,,
548,195401130BOS,MNL,game,,Vern Mikkelsen,mikkeve01,31:00,1.0,4.0,0.25,,,,2.0,2.0,1.0,,,,2.0,,,,5.0,4.0,,
549,195401130BOS,MNL,game,,Pep Saul,saulpe01,30:00,2.0,5.0,0.4,,,,1.0,3.0,0.333,,,,2.0,,,,1.0,5.0,,
550,195401130BOS,MNL,game,,Clyde Lovellette,lovelcl01,23:00,3.0,11.0,0.273,,,,2.0,2.0,1.0,,,,1.0,,,,3.0,8.0,,
551,195401130BOS,MNL,game,,Jim Holstein,holstji01,19:00,2.0,6.0,0.333,,,,1.0,3.0,0.333,,,,4.0,,,,2.0,5.0,,
552,195401130BOS,MNL,game,,Whitey Skoog,skoogwh01,17:00,4.0,8.0,0.5,,,,1.0,1.0,1.0,,,,5.0,,,,2.0,9.0,,
553,195401130BOS,MNL,game,,Bob Harrison,harribo02,12:00,1.0,2.0,0.5,,,,1.0,1.0,1.0,,,,1.0,,,,3.0,3.0,,
554,195401130BOS,MNL,game,,Dick Schnittker,schnidi01,9:00,3.0,4.0,0.75,,,,2.0,2.0,1.0,,,,0.0,,,,1.0,8.0,,
555,195401130BOS,BOS,game,,Ed Macauley,macaued01,48:00,9.0,17.0,0.529,,,,9.0,9.0,1.0,,,,9.0,,,,1.0,27.0,,
556,195401130BOS,BOS,game,,Bob Cousy,cousybo01,45:00,6.0,18.0,0.333,,,,11.0,16.0,0.688,,,,3.0,,,,3.0,23.0,,
557,195401130BOS,BOS,game,,Bob Harris,harribo01,38:00,1.0,4.0,0.25,,,,5.0,5.0,1.0,,,,0.0,,,,2.0,7.0,,
558,195401130BOS,BOS,game,,Bill Sharman,sharmbi01,30:00,4.0,8.0,0.5,,,,1.0,1.0,1.0,,,,3.0,,,,3.0,9.0,,
559,195401130BOS,BOS,game,,Bob Brannum,brannbo01,27:00,3.0,9.0,0.333,,,,6.0,7.0,0.857,,,,2.0,,,,3.0,12.0,,
560,195401130BOS,BOS,game,,Bob Donham,donhabo01,21:00,1.0,1.0,1.0,,,,0.0,1.0,0.0,,,,3.0,,,,4.0,2.0,,
561,195401130BOS,BOS,game,,Chuck Cooper,coopech01,13:00,0.0,5.0,0.0,,,,0.0,0.0,,,,,1.0,,,,0.0,0.0,,
562,195401130BOS,BOS,game,,Don Barksdale,barksdo01,12:00,3.0,4.0,0.75,,,,2.0,3.0,0.667,,,,2.0,,,,4.0,8.0,,
563,195401130BOS,BOS,game,,Jack Nichols,nichoja01,6:00,0.0,1.0,0.0,,,,0.0,0.0,,,,,0.0,,,,2.0,0.0,,
564,195401310MNL,BOS,game,,Bob Cousy,cousybo01,,2.0,23.0,0.087,,,,11.0,14.0,0.786,,,,,,,,2.0,15.0,,
565,195401310MNL,BOS,game,,Ed Macauley,macaued01,,4.0,10.0,0.4,,,,7.0,8.0,0.875,,,,,,,,2.0,15.0,,
566,195401310MNL,BOS,game,,Bob Brannum,brannbo01,,5.0,12.0,0.417,,,,3.0,4.0,0.75,,,,,,,,3.0,13.0,,
567,195401310MNL,BOS,game,,Bob Donham,donhabo01,,3.0,5.0,0.6,,,,1.0,3.0,0.333,,,,,,,,3.0,7.0,,
568,195401310MNL,BOS,game,,Don Barksdale,barksdo01,,1.0,3.0,0.333,,,,4.0,7.0,0.571,,,,,,,,5.0,6.0,,
569,195401310MNL,BOS,game,,Bill Sharman,sharmbi01,,2.0,6.0,0.333,,,,1.0,2.0,0.5,,,,,,,,4.0,5.0,,
570,195401310MNL,BOS,game,,Ernie Barrett,barreer01,,2.0,5.0,0.4,,,,0.0,0.0,,,,,,,,,3.0,4.0,,
571,195401310MNL,BOS,game,,Bob Harris,harribo01,,0.0,3.0,0.0,,,,1.0,1.0,1.0,,,,,,,,2.0,1.0,,
572,195401310MNL,BOS,game,,Jack Nichols,nichoja01,,0.0,8.0,0.0,,,,1.0,2.0,0.5,,,,,,,,3.0,1.0,,
573,195401310MNL,BOS,game,,Chuck Cooper,coopech01,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,2.0,0.0,,
574,195401310MNL,MNL,game,,Jim Pollard,pollaji01,,8.0,20.0,0.4,,,,6.0,7.0,0.857,,,,,,,,4.0,22.0,,
575,195401310MNL,MNL,game,,Clyde Lovellette,lovelcl01,,5.0,14.0,0.357,,,,4.0,6.0,0.667,,,,,,,,3.0,14.0,,
576,195401310MNL,MNL,game,,George Mikan,mikange01,,4.0,11.0,0.364,,,,6.0,6.0,1.0,,,,,,,,5.0,14.0,,
577,195401310MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,4.0,10.0,0.4,,,,3.0,4.0,0.75,,,,,,,,4.0,11.0,,
578,195401310MNL,MNL,game,,Pep Saul,saulpe01,,2.0,6.0,0.333,,,,3.0,3.0,1.0,,,,,,,,3.0,7.0,,
579,195401310MNL,MNL,game,,Jim Holstein,holstji01,,2.0,4.0,0.5,,,,1.0,1.0,1.0,,,,,,,,1.0,5.0,,
580,195401310MNL,MNL,game,,Dick Schnittker,schnidi01,,2.0,4.0,0.5,,,,1.0,3.0,0.333,,,,,,,,3.0,5.0,,
581,195401310MNL,MNL,game,,Slater Martin,martisl01,,0.0,4.0,0.0,,,,2.0,4.0,0.5,,,,,,,,4.0,2.0,,
582,195401310MNL,MNL,game,,Whitey Skoog,skoogwh01,,0.0,4.0,0.0,,,,2.0,2.0,1.0,,,,,,,,5.0,2.0,,
583,195402180MNL,BOS,game,,Bill Sharman,sharmbi01,,8.0,14.0,0.571,,,,8.0,9.0,0.889,,,,,,,,1.0,24.0,,
584,195402180MNL,BOS,game,,Ed Macauley,macaued01,,8.0,14.0,0.571,,,,6.0,7.0,0.857,,,,,,,,2.0,22.0,,
585,195402180MNL,BOS,game,,Bob Cousy,cousybo01,,7.0,11.0,0.636,,,,5.0,7.0,0.714,,,,,,,,3.0,19.0,,
586,195402180MNL,BOS,game,,Bob Brannum,brannbo01,,5.0,8.0,0.625,,,,1.0,3.0,0.333,,,,,,,,4.0,11.0,,
587,195402180MNL,BOS,game,,Jack Nichols,nichoja01,,4.0,7.0,0.571,,,,2.0,2.0,1.0,,,,,,,,3.0,10.0,,
588,195402180MNL,BOS,game,,Don Barksdale,barksdo01,,3.0,4.0,0.75,,,,3.0,3.0,1.0,,,,,,,,3.0,9.0,,
589,195402180MNL,BOS,game,,Bob Donham,donhabo01,,2.0,5.0,0.4,,,,2.0,2.0,1.0,,,,,,,,4.0,6.0,,
590,195402180MNL,BOS,game,,Ernie Barrett,barreer01,,2.0,3.0,0.667,,,,0.0,0.0,,,,,,,,,3.0,4.0,,
591,195402180MNL,BOS,game,,Bob Harris,harribo01,,0.0,1.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,,
592,195402180MNL,MNL,game,,George Mikan,mikange01,,5.0,12.0,0.417,,,,7.0,9.0,0.778,,,,,,,,0.0,17.0,,
593,195402180MNL,MNL,game,,Slater Martin,martisl01,,6.0,7.0,0.857,,,,2.0,4.0,0.5,,,,,,,,4.0,14.0,,
594,195402180MNL,MNL,game,,Clyde Lovellette,lovelcl01,,6.0,11.0,0.545,,,,0.0,1.0,0.0,,,,,,,,3.0,12.0,,
595,195402180MNL,MNL,game,,Jim Pollard,pollaji01,,3.0,16.0,0.188,,,,6.0,6.0,1.0,,,,,,,,4.0,12.0,,
596,195402180MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,4.0,12.0,0.333,,,,3.0,3.0,1.0,,,,,,,,2.0,11.0,,
597,195402180MNL,MNL,game,,Whitey Skoog,skoogwh01,,4.0,12.0,0.333,,,,1.0,1.0,1.0,,,,,,,,5.0,9.0,,
598,195402180MNL,MNL,game,,Dick Schnittker,schnidi01,,3.0,4.0,0.75,,,,1.0,4.0,0.25,,,,,,,,2.0,7.0,,
599,195402180MNL,MNL,game,,Pep Saul,saulpe01,,2.0,5.0,0.4,,,,2.0,2.0,1.0,,,,,,,,1.0,6.0,,
600,195402180MNL,MNL,game,,Jim Holstein,holstji01,,1.0,10.0,0.1,,,,2.0,2.0,1.0,,,,,,,,3.0,4.0,,
601,195403050BOS,MNL,game,,Whitey Skoog,skoogwh01,37:00,6.0,17.0,0.353,,,,0.0,0.0,,,,,3.0,,,,5.0,12.0,,
602,195403050BOS,MNL,game,,Slater Martin,martisl01,36:00,5.0,11.0,0.455,,,,5.0,7.0,0.714,,,,4.0,,,,2.0,15.0,,
603,195403050BOS,MNL,game,,George Mikan,mikange01,31:00,10.0,12.0,0.833,,,,10.0,13.0,0.769,,,,5.0,,,,5.0,30.0,,
604,195403050BOS,MNL,game,,Jim Pollard,pollaji01,30:00,5.0,13.0,0.385,,,,3.0,4.0,0.75,,,,2.0,,,,2.0,13.0,,
605,195403050BOS,MNL,game,,Vern Mikkelsen,mikkeve01,24:00,6.0,6.0,1.0,,,,2.0,3.0,0.667,,,,1.0,,,,3.0,14.0,,
606,195403050BOS,MNL,game,,Clyde Lovellette,lovelcl01,23:00,2.0,9.0,0.222,,,,2.0,2.0,1.0,,,,2.0,,,,3.0,6.0,,
607,195403050BOS,MNL,game,,Pep Saul,saulpe01,21:00,1.0,5.0,0.2,,,,2.0,2.0,1.0,,,,4.0,,,,3.0,4.0,,
608,195403050BOS,MNL,game,,Dick Schnittker,schnidi01,20:00,1.0,3.0,0.333,,,,3.0,3.0,1.0,,,,3.0,,,,3.0,5.0,,
609,195403050BOS,MNL,game,,Jim Holstein,holstji01,16:00,1.0,3.0,0.333,,,,5.0,8.0,0.625,,,,2.0,,,,3.0,7.0,,
610,195403050BOS,BOS,game,,Bob Cousy,cousybo01,35:00,8.0,16.0,0.5,,,,3.0,3.0,1.0,,,,13.0,,,,4.0,19.0,,
611,195403050BOS,BOS,game,,Ed Macauley,macaued01,31:00,11.0,15.0,0.733,,,,10.0,11.0,0.909,,,,3.0,,,,3.0,32.0,,
612,195403050BOS,BOS,game,,Bill Sharman,sharmbi01,31:00,5.0,13.0,0.385,,,,4.0,4.0,1.0,,,,5.0,,,,2.0,14.0,,
613,195403050BOS,BOS,game,,Bob Harris,harribo01,28:00,4.0,6.0,0.667,,,,2.0,4.0,0.5,,,,0.0,,,,3.0,10.0,,
614,195403050BOS,BOS,game,,Bob Donham,donhabo01,27:00,4.0,5.0,0.8,,,,2.0,3.0,0.667,,,,9.0,,,,1.0,10.0,,
615,195403050BOS,BOS,game,,Jack Nichols,nichoja01,24:00,8.0,13.0,0.615,,,,7.0,7.0,1.0,,,,2.0,,,,4.0,23.0,,
616,195403050BOS,BOS,game,,Don Barksdale,barksdo01,18:00,1.0,6.0,0.167,,,,0.0,1.0,0.0,,,,5.0,,,,4.0,2.0,,
617,195403050BOS,BOS,game,,Ernie Barrett,barreer01,16:00,2.0,6.0,0.333,,,,0.0,0.0,,,,,1.0,,,,4.0,4.0,,
618,195403050BOS,BOS,game,,Chuck Cooper,coopech01,15:00,3.0,4.0,0.75,,,,2.0,3.0,0.667,,,,3.0,,,,4.0,8.0,,
619,195403050BOS,BOS,game,,Bob Brannum,brannbo01,14:00,2.0,6.0,0.333,,,,2.0,2.0,1.0,,,,0.0,,,,5.0,6.0,,
620,195411280MNL,BOS,game,,Bob Cousy,cousybo01,,5.0,16.0,0.313,,,,11.0,12.0,0.917,,,,,,,,4.0,21.0,,
621,195411280MNL,BOS,game,,Bill Sharman,sharmbi01,,7.0,19.0,0.368,,,,6.0,6.0,1.0,,,,,,,,4.0,20.0,,
622,195411280MNL,BOS,game,,Frank Ramsey,ramsefr01,,3.0,8.0,0.375,,,,13.0,15.0,0.867,,,,,,,,4.0,19.0,,
623,195411280MNL,BOS,game,,Ed Macauley,macaued01,,3.0,6.0,0.5,,,,11.0,12.0,0.917,,,,,,,,5.0,17.0,,
624,195411280MNL,BOS,game,,Don Barksdale,barksdo01,,1.0,4.0,0.25,,,,7.0,9.0,0.778,,,,,,,,1.0,9.0,,
625,195411280MNL,BOS,game,,Jack Nichols,nichoja01,,3.0,8.0,0.375,,,,3.0,3.0,1.0,,,,,,,,6.0,9.0,,
626,195411280MNL,BOS,game,,Bob Brannum,brannbo01,,2.0,5.0,0.4,,,,2.0,2.0,1.0,,,,,,,,2.0,6.0,,
627,195411280MNL,BOS,game,,Red Morrison,morrire01,,2.0,4.0,0.5,,,,1.0,4.0,0.25,,,,,,,,5.0,5.0,,
628,195411280MNL,BOS,game,,Bob Houbregs,houbrbo01,,0.0,0.0,,,,,1.0,1.0,1.0,,,,,,,,2.0,1.0,,
629,195411280MNL,BOS,game,,Togo Palazzi,palazto01,,0.0,1.0,0.0,,,,1.0,1.0,1.0,,,,,,,,0.0,1.0,,
630,195411280MNL,BOS,game,,Fred Scolari,scolafr01,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,
631,195411280MNL,MNL,game,,Ed Kalafat,kalafed01,11:00,1.0,2.0,0.5,,,,7.0,7.0,1.0,,,5.0,,,,,3.0,9.0,,
632,195411280MNL,MNL,game,,Clyde Lovellette,lovelcl01,,12.0,22.0,0.545,,,,5.0,6.0,0.833,,,,,,,,5.0,29.0,,
633,195411280MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,5.0,8.0,0.625,,,,16.0,18.0,0.889,,,,,,,,5.0,26.0,,
634,195411280MNL,MNL,game,,Jim Pollard,pollaji01,,6.0,15.0,0.4,,,,9.0,9.0,1.0,,,,,,,,5.0,21.0,,
635,195411280MNL,MNL,game,,Whitey Skoog,skoogwh01,,3.0,8.0,0.375,,,,3.0,4.0,0.75,,,,,,,,5.0,9.0,,
636,195411280MNL,MNL,game,,Dick Schnittker,schnidi01,,3.0,5.0,0.6,,,,2.0,2.0,1.0,,,,,,,,5.0,8.0,,
637,195411280MNL,MNL,game,,Slater Martin,martisl01,,1.0,7.0,0.143,,,,5.0,7.0,0.714,,,,,,,,3.0,7.0,,
638,195411280MNL,MNL,game,,Bobby Watson,watsobo01,,3.0,9.0,0.333,,,,0.0,0.0,,,,,,,,,3.0,6.0,,
639,195411280MNL,MNL,game,,Jim Holstein,holstji01,,0.0,5.0,0.0,,,,0.0,0.0,,,,,,,,,5.0,0.0,,
640,195411280MNL,MNL,game,,Don Sunderlage,sundedo01,,0.0,1.0,0.0,,,,0.0,0.0,,,,,,,,,1.0,0.0,,
641,195412080BOS,MNL,game,,Slater Martin,martisl01,46:00,5.0,12.0,0.417,,,,2.0,4.0,0.5,,,,14.0,,,,4.0,12.0,,
642,195412080BOS,MNL,game,,Vern Mikkelsen,mikkeve01,40:00,7.0,20.0,0.35,,,,11.0,11.0,1.0,,,,2.0,,,,4.0,25.0,,
643,195412080BOS,MNL,game,,Clyde Lovellette,lovelcl01,39:00,9.0,23.0,0.391,,,,6.0,7.0,0.857,,,,2.0,,,,5.0,24.0,,
644,195412080BOS,MNL,game,,Whitey Skoog,skoogwh01,34:00,10.0,18.0,0.556,,,,0.0,0.0,,,,,5.0,,,,4.0,20.0,,
645,195412080BOS,MNL,game,,Jim Holstein,holstji01,30:00,3.0,6.0,0.5,,,,3.0,3.0,1.0,,,,4.0,,,,1.0,9.0,,
646,195412080BOS,MNL,game,,Dick Schnittker,schnidi01,23:00,2.0,9.0,0.222,,,,1.0,1.0,1.0,,,,3.0,,,,6.0,5.0,,
647,195412080BOS,MNL,game,,Don Sunderlage,sundedo01,13:00,1.0,3.0,0.333,,,,2.0,3.0,0.667,,,,1.0,,,,3.0,4.0,,
648,195412080BOS,MNL,game,,Ed Kalafat,kalafed01,12:00,0.0,5.0,0.0,,,,0.0,0.0,,,,,0.0,,,,2.0,0.0,,
649,195412080BOS,MNL,game,,Bobby Watson,watsobo01,3:00,1.0,1.0,1.0,,,,0.0,0.0,,,,,0.0,,,,0.0,2.0,,
650,195412080BOS,BOS,game,,Ed Macauley,macaued01,45:00,9.0,20.0,0.45,,,,10.0,13.0,0.769,,,,5.0,,,,1.0,28.0,,
651,195412080BOS,BOS,game,,Bill Sharman,sharmbi01,43:00,4.0,16.0,0.25,,,,5.0,6.0,0.833,,,,7.0,,,,0.0,13.0,,
652,195412080BOS,BOS,game,,Frank Ramsey,ramsefr01,37:00,3.0,6.0,0.5,,,,2.0,5.0,0.4,,,,5.0,,,,5.0,8.0,,
653,195412080BOS,BOS,game,,Bob Cousy,cousybo01,35:00,6.0,15.0,0.4,,,,10.0,10.0,1.0,,,,9.0,,,,3.0,22.0,,
654,195412080BOS,BOS,game,,Jack Nichols,nichoja01,27:00,4.0,11.0,0.364,,,,2.0,3.0,0.667,,,,1.0,,,,5.0,10.0,,
655,195412080BOS,BOS,game,,Bob Brannum,brannbo01,21:00,5.0,6.0,0.833,,,,0.0,0.0,,,,9.0,3.0,,,,6.0,10.0,,
656,195412080BOS,BOS,game,,Red Morrison,morrire01,20:00,1.0,4.0,0.25,,,,1.0,1.0,1.0,,,,0.0,,,,2.0,3.0,,
657,195412080BOS,BOS,game,,Don Barksdale,barksdo01,7:00,0.0,2.0,0.0,,,,1.0,1.0,1.0,,,,1.0,,,,0.0,1.0,,
658,195412080BOS,BOS,game,,Fred Scolari,scolafr01,5:00,2.0,3.0,0.667,,,,0.0,1.0,0.0,,,,0.0,,,,0.0,4.0,,
659,195412140BOS,MNL,game,,Vern Mikkelsen,mikkeve01,,12.0,,,,,,7.0,13.0,0.538,,,,,,,,6.0,31.0,,
660,195412140BOS,MNL,game,,Slater Martin,martisl01,,8.0,,,,,,3.0,4.0,0.75,,,,,,,,3.0,19.0,,
661,195412140BOS,MNL,game,,Clyde Lovellette,lovelcl01,,7.0,,,,,,4.0,8.0,0.5,,,,,,,,4.0,18.0,,
662,195412140BOS,MNL,game,,Whitey Skoog,skoogwh01,,5.0,,,,,,3.0,3.0,1.0,,,,,,,,4.0,13.0,,
663,195412140BOS,MNL,game,,Dick Schnittker,schnidi01,,4.0,,,,,,3.0,3.0,1.0,,,,,,,,6.0,11.0,,
664,195412140BOS,MNL,game,,Jim Holstein,holstji01,,3.0,,,,,,2.0,2.0,1.0,,,,,,,,3.0,8.0,,
665,195412140BOS,MNL,game,,Ed Kalafat,kalafed01,,3.0,,,,,,2.0,2.0,1.0,,,,,,,,1.0,8.0,,
666,195412140BOS,MNL,game,,Don Sunderlage,sundedo01,,0.0,,,,,,0.0,2.0,0.0,,,,,,,,0.0,0.0,,
667,195412140BOS,MNL,game,,Bobby Watson,watsobo01,,0.0,,,,,,0.0,0.0,,,,,,,,,1.0,0.0,,
668,195412140BOS,BOS,game,,Ed Macauley,macaued01,,13.0,,,,,,11.0,13.0,0.846,,,,,,,,4.0,37.0,,
669,195412140BOS,BOS,game,,Bob Cousy,cousybo01,,9.0,,,,,,8.0,10.0,0.8,,,,,,,,2.0,26.0,,
670,195412140BOS,BOS,game,,Don Barksdale,barksdo01,,4.0,,,,,,7.0,10.0,0.7,,,,,,,,6.0,15.0,,
671,195412140BOS,BOS,game,,Bill Sharman,sharmbi01,,6.0,,,,,,2.0,2.0,1.0,,,,,,,,3.0,14.0,,
672,195412140BOS,BOS,game,,Jack Nichols,nichoja01,,4.0,,,,,,0.0,0.0,,,,,,,,,3.0,8.0,,
673,195412140BOS,BOS,game,,Frank Ramsey,ramsefr01,,2.0,,,,,,4.0,10.0,0.4,,,,,,,,3.0,8.0,,
674,195412140BOS,BOS,game,,Bob Brannum,brannbo01,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,3.0,3.0,,
675,195412140BOS,BOS,game,,Red Morrison,morrire01,,1.0,,,,,,0.0,0.0,,,,,,,,,1.0,2.0,,
676,195412140BOS,BOS,game,,Fred Scolari,scolafr01,,1.0,,,,,,0.0,0.0,,,,,,,,,0.0,2.0,,
677,195412260MNL,BOS,game,,Bill Sharman,sharmbi01,,12.0,18.0,0.667,,,,5.0,5.0,1.0,,,,,,,,4.0,29.0,,
678,195412260MNL,BOS,game,,Ed Macauley,macaued01,,5.0,12.0,0.417,,,,6.0,11.0,0.545,,,,,,,,1.0,16.0,,
679,195412260MNL,BOS,game,,Bob Cousy,cousybo01,,5.0,12.0,0.417,,,,2.0,5.0,0.4,,,,,,,,3.0,12.0,,
680,195412260MNL,BOS,game,,Bob Brannum,brannbo01,,4.0,12.0,0.333,,,,1.0,1.0,1.0,,,,,,,,0.0,9.0,,
681,195412260MNL,BOS,game,,Jack Nichols,nichoja01,,3.0,13.0,0.231,,,,1.0,1.0,1.0,,,,,,,,3.0,7.0,,
682,195412260MNL,BOS,game,,Don Barksdale,barksdo01,,2.0,4.0,0.5,,,,0.0,0.0,,,,,,,,,2.0,4.0,,
683,195412260MNL,BOS,game,,Togo Palazzi,palazto01,,1.0,3.0,0.333,,,,0.0,0.0,,,,,,,,,0.0,2.0,,
684,195412260MNL,BOS,game,,Frank Ramsey,ramsefr01,,1.0,3.0,0.333,,,,0.0,0.0,,,,,,,,,1.0,2.0,,
685,195412260MNL,BOS,game,,Red Morrison,morrire01,,0.0,5.0,0.0,,,,1.0,1.0,1.0,,,,,,,,4.0,1.0,,
686,195412260MNL,BOS,game,,Fred Scolari,scolafr01,,0.0,2.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,0.0,,
687,195412260MNL,MNL,game,,Vern Mikkelsen,mikkeve01,,9.0,18.0,0.5,,,,2.0,4.0,0.5,,,17.0,,,,,0.0,20.0,,
688,195412260MNL,MNL,game,,Clyde Lovellette,lovelcl01,,6.0,15.0,0.4,,,,4.0,5.0,0.8,,,,,,,,2.0,16.0,,
689,195412260MNL,MNL,game,,Whitey Skoog,skoogwh01,,6.0,18.0,0.333,,,,4.0,4.0,1.0,,,7.0,5.0,,,,5.0,16.0,,
690,195412260MNL,MNL,game,,Slater Martin,martisl01,,2.0,13.0,0.154,,,,7.0,8.0,0.875,,,,,,,,0.0,11.0,,
691,195412260MNL,MNL,game,,Jim Pollard,pollaji01,,3.0,15.0,0.2,,,,1.0,1.0,1.0,,,,,,,,2.0,7.0,,
692,195412260MNL,MNL,game,,Dick Schnittker,schnidi01,,2.0,7.0,0.286,,,,1.0,1.0,1.0,,,,,,,,4.0,5.0,,
693,195412260MNL,MNL,game,,Jim Holstein,holstji01,,2.0,4.0,0.5,,,,0.0,0.0,,,,,,,,,2.0,4.0,,
694,195412260MNL,MNL,game,,Ed Kalafat,kalafed01,,2.0,5.0,0.4,,,,0.0,0.0,,,,,,,,,3.0,4.0,,
695,195412260MNL,MNL,game,,Bobby Watson,watsobo01,,2.0,4.0,0.5,,,,0.0,0.0,,,,,,,,,0.0,4.0,,
696,195412290BOS,MNL,game,,Slater Martin,martisl01,,13.0,24.0,0.542,,,,9.0,12.0,0.75,,,,0.0,,,,3.0,35.0,,
697,195412290BOS,MNL,game,,Clyde Lovellette,lovelcl01,,8.0,13.0,0.615,,,,8.0,9.0,0.889,,,,0.0,,,,4.0,24.0,,
698,195412290BOS,MNL,game,,Jim Pollard,pollaji01,,7.0,13.0,0.538,,,,7.0,8.0,0.875,,,,0.0,,,,6.0,21.0,,
699,195412290BOS,MNL,game,,Whitey Skoog,skoogwh01,,7.0,14.0,0.5,,,,7.0,8.0,0.875,,,,0.0,,,,4.0,21.0,,
700,195412290BOS,MNL,game,,Vern Mikkelsen,mikkeve01,,4.0,9.0,0.444,,,,5.0,6.0,0.833,,,,0.0,,,,6.0,13.0,,
701,195412290BOS,MNL,game,,Dick Schnittker,schnidi01,,2.0,4.0,0.5,,,,4.0,6.0,0.667,,,,0.0,,,,5.0,8.0,,
702,195412290BOS,MNL,game,,Ed Kalafat,kalafed01,,1.0,7.0,0.143,,,,1.0,2.0,0.5,,,,0.0,,,,6.0,3.0,,
703,195412290BOS,MNL,game,,Jim Holstein,holstji01,,0.0,0.0,,,,,2.0,2.0,1.0,,,,0.0,,,,1.0,2.0,,
704,195412290BOS,MNL,game,,Don Sunderlage,sundedo01,,1.0,1.0,1.0,,,,0.0,0.0,,,,,0.0,,,,1.0,2.0,,
705,195412290BOS,MNL,game,,Bobby Watson,watsobo01,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,
706,195412290BOS,BOS,game,,Bob Cousy,cousybo01,,9.0,18.0,0.5,,,,6.0,7.0,0.857,,,,0.0,,,,6.0,24.0,,
707,195412290BOS,BOS,game,,Ed Macauley,macaued01,,6.0,10.0,0.6,,,,12.0,17.0,0.706,,,,0.0,,,,5.0,24.0,,
708,195412290BOS,BOS,game,,Don Barksdale,barksdo01,,8.0,20.0,0.4,,,,4.0,5.0,0.8,,,,0.0,,,,5.0,20.0,,
709,195412290BOS,BOS,game,,Frank Ramsey,ramsefr01,,4.0,8.0,0.5,,,,6.0,8.0,0.75,,,,0.0,,,,1.0,14.0,,
710,195412290BOS,BOS,game,,Bill Sharman,sharmbi01,,3.0,13.0,0.231,,,,6.0,8.0,0.75,,,,0.0,,,,6.0,12.0,,
711,195412290BOS,BOS,game,,Jack Nichols,nichoja01,,4.0,14.0,0.286,,,,3.0,4.0,0.75,,,,0.0,,,,6.0,11.0,,
712,195412290BOS,BOS,game,,Red Morrison,morrire01,,4.0,6.0,0.667,,,,1.0,2.0,0.5,,,,0.0,,,,3.0,9.0,,
713,195412290BOS,BOS,game,,Bob Brannum,brannbo01,,2.0,3.0,0.667,,,,0.0,0.0,,,,,0.0,,,,2.0,4.0,,
714,195412290BOS,BOS,game,,Fred Scolari,scolafr01,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,0.0,,
715,195501140BOS,MNL,game,,Clyde Lovellette,lovelcl01,,11.0,,,,,,2.0,3.0,0.667,,,,,,,,1.0,24.0,,
716,195501140BOS,MNL,game,,Whitey Skoog,skoogwh01,,7.0,,,,,,1.0,1.0,1.0,,,,,,,,2.0,15.0,,
717,195501140BOS,MNL,game,,Vern Mikkelsen,mikkeve01,,6.0,,,,,,1.0,1.0,1.0,,,,,,,,5.0,13.0,,
718,195501140BOS,MNL,game,,Jim Pollard,pollaji01,,3.0,,,,,,6.0,6.0,1.0,,,,,,,,1.0,12.0,,
